bert_topic,mean,std,count
15,0.6681935076461538,0.1689024278334938,13
13,0.5147302986285714,0.559893073665996,14
17,0.41632408174545454,0.405489080435608,11
5,0.3504651598942623,0.5045146143539823,122
9,0.24060009061764706,0.518835916842698,51
4,0.2327955620030303,0.47738099522590527,132
-1,0.16123011264,0.26557117536314995,5
14,0.14673826844615384,0.43723439379669893,13
7,0.13236444102761905,0.6052539969302178,105
1,0.12311268106760564,0.5687618744047023,284
0,0.11174957051794238,0.5527945083475337,7669
6,0.025097782163478265,0.521595268686804,115
10,0.018415442488888885,0.5636090113448166,27
8,-0.0019819817144329896,0.5279742542002807,97
11,-0.02815415399583333,0.579780751576736,24
3,-0.09227646772078653,0.6125093390699764,178
12,-0.10775964823684211,0.4912441448728352,19
2,-0.1720556512154167,0.045287539528019484,240
18,-0.19166545714444444,0.25699511365186933,9
16,-0.24003705879166667,0.546038715796821,12
